移动直播源,#genre#
河池移动1
CCTV1,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225674/index.m3u8?$广西cdn
CCTV2,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225676/index.m3u8?$广西cdn
CCTV3,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225677/index.m3u8?$广西cdn
CCTV4,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225753/index.m3u8?$广西cdn
CCTV5,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225680/index.m3u8?$广西cdn
CCTV5+,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225621/index.m3u8?$广西cdn
CCTV6,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225683/index.m3u8?$广西cdn
CCTV6,https://hlslive.1905.com/live/LIVEQYR8M567KGOXO/index.m3u8?tm=1655180408&sign=3a9c58d13c3bb893e0a99e9be95f3c7d$代理源
CCTV7,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225627/index.m3u8?$广西cdn
CCTV8,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225630/index.m3u8?$广西cdn
CCTV9,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225633/index.m3u8?$广西cdn
CCTV10,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225624/index.m3u8?$广西cdn
CCTV11,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225750/index.m3u8?$广西cdn
CCTV12,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225670/index.m3u8?$广西cdn
CCTV13,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225787/index.m3u8?$广西cdn
CCTV14,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225648/index.m3u8?$广西cdn
CCTV15,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225693/index.m3u8?$广西cdn
CCTV16,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225956/index.m3u8?$广西cdn
CCTV16,http://liveop.cctv.cn/hls/CCTV16HD/playlist.m3u8$广西cdn
CCTV17,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225766/index.m3u8?$广西cdn
1905电影频道,http://live.cooltv.top/tv/1905.php$代理源
CCTV4K,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8$广西cdn
CGTN英语,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225816/index.m3u8$广西cdn
CGTN阿语,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225822/index.m3u8$广西cdn
CGTN法语,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225878/index.m3u8$广西cdn
CGTN俄语,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225825/index.m3u8$广西cdn
CGTN纪录,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225707/index.m3u8$广西cdn
高尔夫网球,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225884/index.m3u8$广西cdn
广西卫视,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225767/index.m3u8?$广西cdn
湖南卫视,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225692/index.m3u8?$广西cdn
浙江卫视,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225695/index.m3u8?$广西cdn
天津卫视,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225675/index.m3u8?$广西cdn
东方卫视,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225718/index.m3u8?$广西cdn
江苏卫视,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225722/index.m3u8?$广西cdn
北京卫视,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225651/index.m3u8?$广西cdn
广东卫视,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225666/index.m3u8?$广西cdn
山东卫视,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225672/index.m3u8?$广西cdn
湖北卫视,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225721/index.m3u8?$广西cdn
安徽卫视,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225701/index.m3u8?$广西cdn
东南卫视,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225696/index.m3u8?$广西cdn
江西卫视,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225669/index.m3u8?$广西cdn
四川卫视,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225757/index.m3u8?$广西cdn
贵州卫视,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225770/index.m3u8?$广西cdn
重庆卫视,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225745/index.m3u8?$广西cdn
旅游卫视,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225752/index.m3u8?$广西cdn
河北卫视,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225773/index.m3u8?$广西cdn
河南卫视,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225806/index.m3u8?$广西cdn
辽宁卫视,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225779/index.m3u8?$广西cdn
黑龙江卫视,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225734/index.m3u8?$广西cdn
甘肃卫视,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225764/index.m3u8?$广西cdn
青海卫视,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225705/index.m3u8?$广西cdn
山西卫视,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225785/index.m3u8?$广西cdn
云南卫视,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225794/index.m3u8?$广西cdn
陕西卫视,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225754/index.m3u8?$广西cdn
吉林卫视,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225678/index.m3u8?$广西cdn
宁夏卫视,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225782/index.m3u8?$广西cdn
内蒙古卫视,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225751/index.m3u8?$广西cdn
新疆卫视,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225788/index.m3u8?$广西cdn
西藏卫视,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225800/index.m3u8?$广西cdn
黑莓电影,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225740/index.m3u8?$广西cdn
黑莓动画,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225710/index.m3u8?$广西cdn
哈哈炫动,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225711/index.m3u8?$广西cdn
