央视频道,#genre#
CCTV1,http://ott.js.chinamobile.com/PLTV/3/224/3221225530/index.m3u8#http://ott.js.chinamobile.com/PLTV/3/224/3221226316/index.m3u8#http://ott.js.chinamobile.com/PLTV/3/224/3221225852/index.m3u8
CCTV2,http://ott.js.chinamobile.com/PLTV/3/224/3221226993/index.m3u8#http://ott.js.chinamobile.com/PLTV/3/224/3221225881/index.m3u8
CCTV3,http://ott.js.chinamobile.com/PLTV/3/224/3221225588/index.m3u8#http://ott.js.chinamobile.com/PLTV/3/224/3221226360/index.m3u8
CCTV4,http://ott.js.chinamobile.com/PLTV/3/224/3221225534/index.m3u8#http://ott.js.chinamobile.com/PLTV/3/224/3221225781/index.m3u8
CCTV5,http://ott.js.chinamobile.com/PLTV/3/224/3221226362/index.m3u8
CCTV5+,http://ott.js.chinamobile.com/PLTV/3/224/3221225604/index.m3u8
CCTV6,http://ott.js.chinamobile.com/PLTV/3/224/3221225548/index.m3u8
CCTV7,http://ott.js.chinamobile.com/PLTV/3/224/3221225546/index.m3u8
CCTV8,http://ott.js.chinamobile.com/PLTV/3/224/3221225866/index.m3u8
CCTV9,http://ott.js.chinamobile.com/PLTV/3/224/3221225532/index.m3u8#http://ott.js.chinamobile.com/PLTV/3/224/3221225868/index.m3u8
CCTV10,http://ott.js.chinamobile.com/PLTV/3/224/3221225550/index.m3u8
CCTV11,http://ott.js.chinamobile.com/PLTV/3/224/3221226015/index.m3u8
CCTV12,http://ott.js.chinamobile.com/PLTV/3/224/3221225556/index.m3u8#http://ott.js.chinamobile.com/PLTV/3/224/3221225803/index.m3u8
CCTV13,http://ott.js.chinamobile.com/PLTV/3/224/3221225560/index.m3u8
CCTV14,http://ott.js.chinamobile.com/PLTV/3/224/3221225813/index.m3u8
CCTV15,http://ott.js.chinamobile.com/PLTV/3/224/3221225817/index.m3u8
CETV1,http://ott.js.chinamobile.com/PLTV/3/224/3221225909/index.m3u8
CETV2,http://ott.js.chinamobile.com/PLTV/3/224/3221225850/index.m3u8
CGTN,http://ott.js.chinamobile.com/PLTV/3/224/3221225917/index.m3u8
黑莓电竟,http://ott.js.chinamobile.com/PLTV/3/224/3221225539/index.m3u8
黑莓动画,http://ott.js.chinamobile.com/PLTV/3/224/3221225555/index.m3u8
黑莓电影,http://ott.js.chinamobile.com/PLTV/3/224/3221225567/index.m3u8
卫视频道,#genre#
江西卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221225536/index.m3u8#http://ott.js.chinamobile.com/PLTV/3/224/3221225798/index.m3u8
浙江卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221225544/index.m3u8#http://ott.js.chinamobile.com/PLTV/3/224/3221225860/index.m3u8
