移动直播源,#genre#
河池移动1
CCTV1,http://39.135.33.137:80/cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225674/index.m3u8?
CCTV2,http://39.135.33.49:80/cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225676/index.m3u8?
CCTV3,http://39.135.33.42:80/cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225677/index.m3u8?
CCTV4,http://39.135.33.171:80/cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225753/index.m3u8?
CCTV5,http://39.135.33.78:80/cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225680/index.m3u8?
CCTV5+,http://39.135.33.50:80/cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225621/index.m3u8?
CCTV6,http://39.135.33.42:80/cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225683/index.m3u8?
CCTV7,http://39.135.33.209:80/cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225627/index.m3u8?
CCTV8,http://39.135.33.209:80/cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225630/index.m3u8?
CCTV9,http://39.135.33.209:80/cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225633/index.m3u8?
CCTV10,http://39.135.33.41:80/cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225624/index.m3u8?
CCTV11,http://39.135.33.157:80/cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225750/index.m3u8?
CCTV12,http://39.135.33.209:80/cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225670/index.m3u8?
CCTV13,http://39.135.33.209:80/cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225787/index.m3u8?
CCTV14,http://39.135.33.42:80/cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225673/index.m3u8?
CCTV15,http://39.135.33.157:80/cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225830/index.m3u8?
CCTV16,http://39.135.33.209:80/cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225956/index.m3u8?
CCTV16,http://liveop.cctv.cn/hls/CCTV16HD/playlist.m3u8
CCTV17,http://39.135.33.209:80/cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225833/index.m3u8?
CGTN英语,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225816/index.m3u8
CGTN阿语,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225822/index.m3u8
CGTN法语,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225878/index.m3u8
CGTN俄语,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225825/index.m3u8
CGTN纪录,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225707/index.m3u8
高尔夫网球,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225884/index.m3u8
广西卫视,http://39.135.33.139:80/cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225767/index.m3u8?
广西卫视,http://live-cdn.gxxw.com/tv/gxtvlive/index.m3u8
湖南卫视,http://39.135.33.209:80/cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225692/index.m3u8?
浙江卫视,http://39.135.33.209:80/cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225695/index.m3u8?
天津卫视,http://39.135.33.209:80/cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225694/index.m3u8?
东方卫视,http://39.135.33.81:80/cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225682/index.m3u8?
江苏卫视,http://39.135.33.209:80/cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225636/index.m3u8?
北京卫视,http://39.135.33.209:80/cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225664/index.m3u8?
广东卫视,http://39.135.33.78:80/cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225685/index.m3u8?
山东卫视,http://39.135.33.73:80/cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225642/index.m3u8?
湖北卫视,http://39.135.33.49:80/cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225689/index.m3u8?
安徽卫视,http://39.135.33.209:80/cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225671/index.m3u8?
东南卫视,http://39.135.33.209:80/cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225696/index.m3u8?
江西卫视,http://39.135.33.209:80/cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225669/index.m3u8?
四川卫视,http://39.135.33.209:80/cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225757/index.m3u8?
四川卫视,http://scgctvshow.sctv.com/scgc/sctv1deu5453w/1.m3u8
贵州卫视,http://39.135.33.209:80/cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225770/index.m3u8?
重庆卫视,http://39.135.33.209:80/cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225679/index.m3u8?
旅游卫视,http://39.135.33.209:80/cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225752/index.m3u8?
河北卫视,http://39.135.33.209:80/cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225773/index.m3u8?
河南卫视,http://39.135.33.209:80/cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225806/index.m3u8?
辽宁卫视,http://39.135.33.209:80/cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225639/index.m3u8?
黑龙江卫视,http://39.135.33.209:80/cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225686/index.m3u8?
甘肃卫视,http://39.135.33.209:80/cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225764/index.m3u8?
青海卫视,http://39.135.33.209:80/cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225705/index.m3u8?
山西卫视,http://39.135.33.209:80/cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225785/index.m3u8?
云南卫视,http://39.135.33.209:80/cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225794/index.m3u8?
陕西卫视,http://39.135.33.209:80/cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225754/index.m3u8?
吉林卫视,http://39.135.33.209:80/cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225678/index.m3u8?
宁夏卫视,http://39.135.33.209:80/cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225782/index.m3u8?
宁夏卫视,http://livepgc.cmc.ningxiahuangheyun.com/pgc/0eca61404ac7027770b67c0d70f33b55.m3u8
内蒙古卫视,http://39.135.33.209:80/cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225751/index.m3u8?
